table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Missouri: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...AIAN,"11,990","12,011","12,107","12,163","12,164","12,278","12,252","12,233","12,325","12,268","12,190","12,163","12,200"
...Asian,"29,844","30,262","31,791","33,504","35,144","36,949","38,774","40,560","42,241","43,672","45,092","46,240","46,489"
...NHPI,"1,535","1,558","1,648","1,791","1,885","2,004","2,176","2,324","2,521","2,664","2,775","2,891","2,900"
..Two or More Races,"30,312","30,721","32,462","34,270","36,050","37,859","40,012","42,087","44,383","46,470","48,939","50,550","50,835"
.HISPANIC,"62,536","63,174","67,746","72,291","76,819","81,648","86,696","92,416","97,947","102,886","107,504","110,740","111,586"
..One Race,"61,076","61,679","65,964","70,230","74,460","78,990","83,671","89,017","94,160","98,667","102,895","105,861","106,603"
...White,"56,684","57,230","61,068","64,871","68,633","72,442","76,619","81,237","85,762","89,646","93,051","95,414","96,097"
...Black,"2,654","2,688","2,884","3,101","3,332","3,651","3,935","4,229","4,533","4,813","5,203","5,358","5,396"
...AIAN,"1,127","1,147","1,280","1,437","1,593","1,874","2,027","2,339","2,527","2,803","3,154","3,382","3,395"
...Asian,432,432,499,533,555,659,670,734,817,838,866,999,"1,003"
...NHPI,179,182,233,288,347,364,420,478,521,567,621,708,712
..Two or More Races,"1,460","1,495","1,782","2,061","2,359","2,658","3,025","3,399","3,787","4,219","4,609","4,879","4,983"
FEMALE,"2,874,963","2,879,787","2,895,476","2,910,476","2,926,556","2,942,685","2,962,870","2,987,563","3,007,493","3,024,837","3,042,021","3,055,450","3,058,734"
.One Race,"2,841,799","2,846,142","2,859,831","2,872,814","2,886,925","2,900,853","2,918,610","2,940,814","2,958,129","2,972,926","2,987,191","2,998,523","3,001,412"
..White,"2,457,633","2,460,399","2,468,581","2,476,353","2,485,251","2,493,364","2,505,144","2,520,531","2,533,099","2,542,920","2,552,370","2,559,263","2,560,920"
..Black,"337,066","338,119","341,382","344,254","347,108","350,472","353,717","357,622","360,047","362,621","365,325","367,657","368,558"
..AIAN,"12,680","12,739","13,015","13,183","13,462","13,666","13,937","14,123","14,303","14,604","14,737","15,050","15,094"
..Asian,"32,772","33,216","35,041","36,991","38,990","41,030","43,292","45,773","47,764","49,598","51,519","52,974","53,254"
..NHPI,"1,648","1,669","1,812","2,033","2,114","2,321","2,520","2,765","2,916","3,183","3,240","3,579","3,586"
.Two or More Races,"33,164","33,645","35,645","37,662","39,631","41,832","44,260","46,749","49,364","51,911","54,830","56,927","57,322"
.NOT HISPANIC,"2,818,879","2,823,102","2,834,378","2,844,939","2,856,514","2,868,285","2,883,596","2,902,894","2,917,925","2,930,706","2,943,605","2,953,720","2,956,265"
..One Race,"2,787,246","2,791,032","2,800,550","2,809,397","2,819,253","2,829,130","2,842,357","2,859,572","2,872,303","2,882,823","2,893,257","2,901,538","2,903,811"
...White,"2,407,506","2,409,766","2,414,240","2,418,280","2,423,420","2,428,004","2,435,961","2,447,017","2,455,426","2,461,661","2,467,717","2,472,237","2,473,327"
...Black,"334,339","335,366","338,418","341,061","343,702","346,745","349,671","353,191","355,382","357,694","360,155","362,228","363,090"
...AIAN,"11,576","11,612","11,712","11,761","11,869","11,947","11,908","11,964","12,024","12,018","12,039","12,016","12,052"
...Asian,"32,351","32,795","34,592","36,516","38,440","40,444","42,671","45,034","47,002","48,784","50,652","52,100","52,378"
...NHPI,"1,474","1,493","1,588","1,779","1,822","1,990","2,146","2,366","2,469","2,666","2,694","2,957","2,964"
..Two or More Races,"31,633","32,070","33,828","35,542","37,261","39,155","41,239","43,322","45,622","47,883","50,348","52,182","52,454"
.HISPANIC,"56,084","56,685","61,098","65,537","70,042","74,400","79,274","84,669","89,568","94,131","98,416","101,730","102,469"
..One Race,"54,553","55,110","59,281","63,417","67,672","71,723","76,253","81,242","85,826","90,103","93,934","96,985","97,601"
...White,"50,127","50,633","54,341","58,073","61,831","65,360","69,183","73,514","77,673","81,259","84,653","87,026","87,593"
...Black,"2,727","2,753","2,964","3,193","3,406","3,727","4,046","4,431","4,665","4,927","5,170","5,429","5,468"
...AIAN,"1,104","1,127","1,303","1,422","1,593","1,719","2,029","2,159","2,279","2,586","2,698","3,034","3,042"
...Asian,421,421,449,475,550,586,621,739,762,814,867,874,876
...NHPI,174,176,224,254,292,331,374,399,447,517,546,622,622
..Two or More Races,"1,531","1,575","1,817","2,120","2,370","2,677","3,021","3,427","3,742","4,028","4,482","4,745","4,868"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Missouri: April 1, 2000 to July 1, 2010 (ST-EST2010-03-29)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
