table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Florida: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...NHPI,"3,799","3,840","4,014","4,225","4,428","4,717","4,937","5,131","5,295","5,325","5,498","5,555","5,590"
..Two or More Races,"70,459","71,527","76,977","82,672","88,531","94,974","101,202","107,703","113,019","118,310","123,538","127,893","128,666"
.HISPANIC,"1,340,202","1,356,494","1,427,206","1,501,206","1,572,923","1,656,932","1,752,718","1,845,826","1,922,908","1,987,167","2,040,119","2,086,858","2,101,982"
..One Race,"1,328,049","1,343,984","1,413,231","1,485,661","1,555,694","1,637,568","1,731,080","1,821,452","1,895,974","1,957,653","2,008,019","2,052,767","2,067,835"
...White,"1,260,474","1,275,536","1,339,070","1,405,785","1,470,078","1,544,637","1,627,044","1,707,263","1,774,021","1,829,196","1,874,728","1,915,744","1,929,774"
...Black,"52,733","53,340","56,972","60,620","64,575","69,852","78,368","85,842","91,245","95,884","99,011","101,559","102,377"
...AIAN,"8,902","9,050","10,581","12,136","13,440","14,620","16,062","17,805","19,280","20,522","21,746","22,686","22,819"
...Asian,"4,036","4,101","4,488","4,842","5,207","5,729","6,488","7,185","7,741","8,234","8,523","8,709","8,766"
...NHPI,"1,904","1,957","2,120","2,278","2,394","2,730","3,118","3,357","3,687","3,817","4,011","4,069","4,099"
..Two or More Races,"12,153","12,510","13,975","15,545","17,229","19,364","21,638","24,374","26,934","29,514","32,100","34,091","34,147"
FEMALE,"8,184,737","8,217,314","8,372,776","8,541,734","8,697,573","8,902,447","9,117,950","9,280,080","9,378,587","9,465,279","9,534,289","9,611,955","9,631,326"
.One Race,"8,099,896","8,131,009","8,279,149","8,440,344","8,588,202","8,784,067","8,990,158","9,142,609","9,232,450","9,310,419","9,370,947","9,441,671","9,460,243"
..White,"6,656,526","6,680,008","6,780,422","6,891,571","6,992,080","7,130,472","7,272,775","7,368,195","7,419,612","7,460,950","7,491,962","7,537,932","7,551,744"
..Black,"1,261,261","1,266,671","1,302,318","1,339,081","1,373,443","1,415,758","1,462,391","1,504,016","1,530,986","1,557,817","1,579,366","1,597,471","1,600,568"
..AIAN,"28,339","28,484","30,566","32,332","33,915","35,422","36,942","38,826","40,144","41,150","41,791","42,384","42,576"
..Asian,"148,532","150,516","160,195","171,365","182,350","195,497","210,410","223,412","233,198","241,588","248,765","254,718","256,116"
..NHPI,"5,238","5,330","5,648","5,995","6,414","6,918","7,640","8,160","8,510","8,914","9,063","9,166","9,239"
.Two or More Races,"84,841","86,305","93,627","101,390","109,371","118,380","127,792","137,471","146,137","154,860","163,342","170,284","171,083"
.NOT HISPANIC,"6,842,067","6,856,727","6,938,323","7,029,410","7,110,174","7,228,110","7,346,601","7,411,926","7,429,359","7,443,284","7,450,101","7,475,007","7,480,105"
..One Race,"6,769,273","6,782,864","6,858,703","6,943,744","7,018,351","7,129,485","7,241,009","7,299,380","7,310,945","7,318,980","7,320,047","7,340,131","7,344,452"
...White,"5,390,414","5,397,254","5,431,270","5,472,003","5,505,142","5,566,045","5,624,553","5,636,295","5,617,320","5,595,223","5,571,602","5,570,337","5,570,823"
...Black,"1,209,601","1,214,388","1,246,031","1,278,724","1,308,961","1,345,770","1,383,926","1,417,792","1,438,996","1,460,974","1,479,049","1,494,510","1,496,870"
...AIAN,"21,221","21,241","21,846","22,448","22,853","23,442","23,918","24,173","24,140","24,198","23,908","23,942","24,034"
...Asian,"144,381","146,282","155,621","166,432","177,034","189,593","203,670","215,988","225,245","233,194","239,994","245,786","247,125"
...NHPI,"3,656","3,699","3,935","4,137","4,361","4,635","4,942","5,132","5,244","5,391","5,494","5,556","5,600"
..Two or More Races,"72,794","73,863","79,620","85,666","91,823","98,625","105,592","112,546","118,414","124,304","130,054","134,876","135,653"
.HISPANIC,"1,342,670","1,360,587","1,434,453","1,512,324","1,587,399","1,674,337","1,771,349","1,868,154","1,949,228","2,021,995","2,084,188","2,136,948","2,151,221"
..One Race,"1,330,623","1,348,145","1,420,446","1,496,600","1,569,851","1,654,582","1,749,149","1,843,229","1,921,505","1,991,439","2,050,900","2,101,540","2,115,791"
...White,"1,266,112","1,282,754","1,349,152","1,419,568","1,486,938","1,564,427","1,648,222","1,731,900","1,802,292","1,865,727","1,920,360","1,967,595","1,980,921"
...Black,"51,660","52,283","56,287","60,357","64,482","69,988","78,465","86,224","91,990","96,843","100,317","102,961","103,698"
...AIAN,"7,118","7,243","8,720","9,884","11,062","11,980","13,024","14,653","16,004","16,952","17,883","18,442","18,542"
...Asian,"4,151","4,234","4,574","4,933","5,316","5,904","6,740","7,424","7,953","8,394","8,771","8,932","8,991"
...NHPI,"1,582","1,631","1,713","1,858","2,053","2,283","2,698","3,028","3,266","3,523","3,569","3,610","3,639"
..Two or More Races,"12,047","12,442","14,007","15,724","17,548","19,755","22,200","24,925","27,723","30,556","33,288","35,408","35,430"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Florida: April 1, 2000 to July 1, 2010 (ST-EST2010-03-12)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
