table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Louisiana: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
..Black,"771,565","772,408","774,044","777,560","782,215","787,687","792,228","709,558","730,710","747,576","759,149","766,756","769,264"
..AIAN,"12,906","12,972","13,312","13,697","13,991","14,430","14,775","14,407","14,872","15,465","15,893","16,314","16,372"
..Asian,"27,837","28,135","28,740","29,804","30,930","32,041","33,085","31,014","32,266","33,656","35,065","36,184","36,407"
..NHPI,660,660,753,787,866,897,955,965,"1,015","1,086","1,171","1,173","1,175"
.Two or More Races,"17,064","17,246","18,454","19,779","21,198","22,619","24,120","23,804","25,507","27,571","29,378","30,595","30,834"
.NOT HISPANIC,"2,253,206","2,253,556","2,251,763","2,255,797","2,264,354","2,272,823","2,279,860","2,136,760","2,166,356","2,191,638","2,212,439","2,227,914","2,232,314"
..One Race,"2,237,389","2,237,587","2,234,762","2,237,664","2,245,011","2,252,237","2,258,052","2,115,424","2,143,537","2,167,048","2,186,302","2,200,724","2,204,977"
...White,"1,431,466","1,430,505","1,425,382","1,423,680","1,425,109","1,425,667","1,425,869","1,368,005","1,373,856","1,379,165","1,385,472","1,391,134","1,392,660"
...Black,"765,799","766,609","768,062","771,359","775,887","781,198","785,511","703,279","723,981","740,394","751,654","759,112","761,569"
...AIAN,"12,136","12,190","12,436","12,696","12,931","13,237","13,484","13,032","13,413","13,801","14,103","14,345","14,391"
...Asian,"27,462","27,757","28,299","29,331","30,436","31,484","32,491","30,434","31,576","32,931","34,280","35,359","35,578"
...NHPI,526,526,583,598,648,651,697,674,711,757,793,774,779
..Two or More Races,"15,817","15,969","17,001","18,133","19,343","20,586","21,808","21,336","22,819","24,590","26,137","27,190","27,337"
.HISPANIC,"52,887","53,422","56,300","59,727","62,799","65,930","69,581","67,312","72,769","77,992","82,760","86,166","86,859"
..One Race,"51,640","52,145","54,847","58,081","60,944","63,897","67,269","64,844","70,081","75,011","79,519","82,761","83,362"
...White,"44,595","45,052","47,378","50,217","52,844","55,412","58,409","56,319","60,899","65,111","69,071","71,924","72,461"
...Black,"5,766","5,799","5,982","6,201","6,328","6,489","6,717","6,279","6,729","7,182","7,495","7,644","7,695"
...AIAN,770,782,876,"1,001","1,060","1,193","1,291","1,375","1,459","1,664","1,790","1,969","1,981"
...Asian,375,378,441,473,494,557,594,580,690,725,785,825,829
...NHPI,134,134,170,189,218,246,258,291,304,329,378,399,396
..Two or More Races,"1,247","1,277","1,453","1,646","1,855","2,033","2,312","2,468","2,688","2,981","3,241","3,405","3,497"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Louisiana: April 1, 2000 to July 1, 2010 (ST-EST2010-03-22)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
