table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Iowa: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
..AIAN,"4,793","4,807","5,028","5,208","5,342","5,564","5,760","5,912","6,145","6,288","6,566","6,699","6,708"
..Asian,"18,931","19,146","19,687","20,403","21,165","21,998","22,845","23,706","24,451","25,262","26,411","27,304","27,423"
..NHPI,556,557,614,666,741,758,829,874,960,976,"1,090","1,163","1,153"
.Two or More Races,"11,589","11,717","12,648","13,548","14,571","15,632","16,603","17,837","19,043","20,323","21,481","22,362","22,611"
.NOT HISPANIC,"1,453,380","1,453,814","1,450,895","1,447,037","1,446,329","1,447,900","1,448,834","1,453,395","1,456,783","1,460,786","1,463,854","1,466,483","1,467,454"
..One Race,"1,442,505","1,442,820","1,439,132","1,434,517","1,432,946","1,433,614","1,433,729","1,437,267","1,439,622","1,442,497","1,444,616","1,446,486","1,447,319"
...White,"1,389,769","1,389,783","1,384,624","1,378,636","1,375,323","1,374,116","1,371,996","1,373,174","1,373,085","1,373,496","1,372,948","1,373,062","1,373,706"
...Black,"29,493","29,586","30,399","31,009","31,913","32,895","34,182","35,694","37,315","38,955","40,440","41,342","41,414"
...AIAN,"4,102","4,094","4,193","4,239","4,261","4,328","4,381","4,372","4,404","4,422","4,459","4,393","4,395"
...Asian,"18,685","18,900","19,414","20,100","20,863","21,667","22,513","23,325","24,052","24,851","25,918","26,792","26,912"
...NHPI,456,457,502,533,586,608,657,702,766,773,851,897,892
..Two or More Races,"10,875","10,994","11,763","12,520","13,383","14,286","15,105","16,128","17,161","18,289","19,238","19,997","20,135"
.HISPANIC,"37,537","37,961","41,392","44,413","47,578","50,988","54,185","57,729","61,240","64,753","68,885","71,553","72,081"
..One Race,"36,823","37,238","40,507","43,385","46,390","49,642","52,687","56,020","59,358","62,719","66,642","69,188","69,605"
...White,"34,909","35,295","38,307","40,976","43,751","46,729","49,531","52,561","55,538","58,649","62,022","64,211","64,614"
...Black,877,884,980,"1,004","1,101","1,196","1,273","1,366","1,486","1,590","1,781","1,893","1,906"
...AIAN,691,713,835,969,"1,081","1,236","1,379","1,540","1,741","1,866","2,107","2,306","2,313"
...Asian,246,246,273,303,302,331,332,381,399,411,493,512,511
...NHPI,100,100,112,133,155,150,172,172,194,203,239,266,261
..Two or More Races,714,723,885,"1,028","1,188","1,346","1,498","1,709","1,882","2,034","2,243","2,365","2,476"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Iowa: April 1, 2000 to July 1, 2010 (ST-EST2010-03-19)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
