table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Indiana: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...Asian,"59,683","60,584","64,367","68,483","73,096","77,565","82,305","87,136","91,619","95,523","100,090","102,917","103,438"
...NHPI,"1,605","1,610","1,663","1,680","1,698","1,766","1,824","1,856","1,867","1,903","2,010","1,945","1,955"
..Two or More Races,"52,771","53,545","57,145","60,914","64,728","68,813","73,024","77,766","82,651","87,309","92,137","95,771","96,417"
.HISPANIC,"214,585","217,326","234,469","249,409","266,236","283,216","303,357","324,357","343,653","361,715","377,857","389,707","392,371"
..One Race,"211,430","214,060","230,456","244,604","260,595","276,789","295,984","316,068","334,466","351,579","366,663","377,860","380,367"
...White,"198,731","201,038","215,708","228,355","242,732","257,189","274,490","292,284","308,541","323,375","335,718","344,624","346,918"
...Black,"7,987","8,134","8,998","9,625","10,557","11,459","12,416","13,633","14,936","16,117","17,712","18,818","18,954"
...AIAN,"2,801","2,958","3,555","4,222","4,861","5,525","6,150","6,917","7,590","8,415","9,320","10,213","10,267"
...Asian,"1,136","1,150","1,279","1,428","1,466","1,583","1,783","1,959","2,052","2,211","2,360","2,618","2,637"
...NHPI,775,780,916,974,979,"1,033","1,145","1,275","1,347","1,461","1,553","1,587","1,591"
..Two or More Races,"3,155","3,266","4,013","4,805","5,641","6,427","7,373","8,289","9,187","10,136","11,194","11,847","12,004"
MALE,"2,982,736","2,988,697","3,007,602","3,022,625","3,044,272","3,064,055","3,087,135","3,114,466","3,138,145","3,160,843","3,177,848","3,189,737","3,193,637"
.One Race,"2,955,176","2,960,715","2,977,446","2,990,170","3,009,581","3,026,919","3,047,513","3,072,070","3,092,953","3,113,100","3,127,242","3,137,051","3,140,516"
..White,"2,667,969","2,671,951","2,682,223","2,689,037","2,701,782","2,712,338","2,725,925","2,742,351","2,756,150","2,769,314","2,776,447","2,781,836","2,784,179"
..Black,"247,363","248,367","252,504","255,934","260,025","264,206","268,496","273,562","278,047","282,733","286,827","289,746","290,549"
..AIAN,"8,714","8,814","9,116","9,513","9,802","10,161","10,469","10,948","11,317","11,789","12,276","12,652","12,703"
..Asian,"29,835","30,284","32,192","34,266","36,565","38,754","41,091","43,538","45,751","47,462","49,837","51,041","51,302"
..NHPI,"1,295","1,299","1,411","1,420","1,407","1,460","1,532","1,671","1,688","1,802","1,855","1,776","1,783"
.Two or More Races,"27,560","27,982","30,156","32,455","34,691","37,136","39,622","42,396","45,192","47,743","50,606","52,686","53,121"
.NOT HISPANIC,"2,865,389","2,869,876","2,879,910","2,887,252","2,900,456","2,911,646","2,924,691","2,941,331","2,955,521","2,969,318","2,978,568","2,984,800","2,987,225"
..One Race,"2,839,410","2,843,528","2,851,760","2,857,226","2,868,616","2,877,765","2,888,801","2,903,086","2,914,955","2,926,643","2,933,583","2,938,071","2,940,150"
...White,"2,558,902","2,561,628","2,564,207","2,564,536","2,570,045","2,573,328","2,578,262","2,585,721","2,591,556","2,597,508","2,598,843","2,599,876","2,600,956"
...Black,"243,264","244,196","247,947","251,068","254,735","258,488","262,310","266,745","270,613","274,721","278,012","280,468","281,196"
...AIAN,"7,188","7,204","7,218","7,238","7,180","7,170","7,160","7,192","7,195","7,186","7,209","7,103","7,121"
...Asian,"29,242","29,684","31,539","33,535","35,806","37,903","40,151","42,478","44,639","46,265","48,525","49,688","49,939"
...NHPI,814,816,849,849,850,876,918,950,952,963,994,936,938
..Two or More Races,"25,979","26,348","28,150","30,026","31,840","33,881","35,890","38,245","40,566","42,675","44,985","46,729","47,075"
.HISPANIC,"117,347","118,821","127,692","135,373","143,816","152,409","162,444","173,135","182,624","191,525","199,280","204,937","206,412"
..One Race,"115,766","117,187","125,686","132,944","140,965","149,154","158,712","168,984","177,998","186,457","193,659","198,980","200,366"
...White,"109,067","110,323","118,016","124,501","131,737","139,010","147,663","156,630","164,594","171,806","177,604","181,960","183,223"
...Black,"4,099","4,171","4,557","4,866","5,290","5,718","6,186","6,817","7,434","8,012","8,815","9,278","9,353"
...AIAN,"1,526","1,610","1,898","2,275","2,622","2,991","3,309","3,756","4,122","4,603","5,067","5,549","5,582"
...Asian,593,600,653,731,759,851,940,"1,060","1,112","1,197","1,312","1,353","1,363"
...NHPI,481,483,562,571,557,584,614,721,736,839,861,840,845
..Two or More Races,"1,581","1,634","2,006","2,429","2,851","3,255","3,732","4,151","4,626","5,068","5,621","5,957","6,046"
FEMALE,"3,098,091","3,103,169","3,120,158","3,133,342","3,152,366","3,168,952","3,191,481","3,218,203","3,241,454","3,263,963","3,281,477","3,294,065","3,296,984"
.One Race,"3,069,725","3,074,340","3,089,156","3,100,078","3,116,688","3,130,848","3,150,706","3,174,544","3,194,808","3,214,261","3,228,752","3,239,133","3,241,684"
..White,"2,760,684","2,763,819","2,771,841","2,776,521","2,786,211","2,793,484","2,805,710","2,820,641","2,833,163","2,845,090","2,852,397","2,856,997","2,858,483"
..Black,"269,028","269,944","274,270","277,895","282,124","286,166","290,728","296,620","301,561","306,288","310,590","314,051","314,793"
..AIAN,"7,944","8,036","8,423","8,783","9,086","9,465","9,834","10,266","10,638","11,049","11,444","11,835","11,872"
..Asian,"30,984","31,450","33,454","35,645","37,997","40,394","42,997","45,557","47,920","50,272","52,613","54,494","54,773"
..NHPI,"1,085","1,091","1,168","1,234","1,270","1,339","1,437","1,460","1,526","1,562","1,708","1,756","1,763"
.Two or More Races,"28,366","28,829","31,002","33,264","35,678","38,104","40,775","43,659","46,646","49,702","52,725","54,932","55,300"
.NOT HISPANIC,"3,000,853","3,004,664","3,013,381","3,019,306","3,029,946","3,038,145","3,050,568","3,066,981","3,080,425","3,093,773","3,102,900","3,109,295","3,111,025"
..One Race,"2,974,061","2,977,467","2,984,386","2,988,418","2,997,058","3,003,213","3,013,434","3,027,460","3,038,340","3,049,139","3,055,748","3,060,253","3,061,683"
...White,"2,671,020","2,673,104","2,674,149","2,672,667","2,675,216","2,675,305","2,678,883","2,684,987","2,689,216","2,693,521","2,694,283","2,694,333","2,694,788"
...Black,"265,140","265,981","269,829","273,136","276,857","280,425","284,498","289,804","294,059","298,183","301,693","304,511","305,192"
...AIAN,"6,669","6,688","6,766","6,836","6,847","6,931","6,993","7,105","7,170","7,237","7,191","7,171","7,187"
...Asian,"30,441","30,900","32,828","34,948","37,290","39,662","42,154","44,658","46,980","49,258","51,565","53,229","53,499"
...NHPI,791,794,814,831,848,890,906,906,915,940,"1,016","1,009","1,017"
..Two or More Races,"26,792","27,197","28,995","30,888","32,888","34,932","37,134","39,521","42,085","44,634","47,152","49,042","49,342"
.HISPANIC,"97,238","98,505","106,777","114,036","122,420","130,807","140,913","151,222","161,029","170,190","178,577","184,770","185,959"
..One Race,"95,664","96,873","104,770","111,660","119,630","127,635","137,272","147,084","156,468","165,122","173,004","178,880","180,001"
...White,"89,664","90,715","97,692","103,854","110,995","118,179","126,827","135,654","143,947","151,569","158,114","162,664","163,695"
...Black,"3,888","3,963","4,441","4,759","5,267","5,741","6,230","6,816","7,502","8,105","8,897","9,540","9,601"
...AIAN,"1,275","1,348","1,657","1,947","2,239","2,534","2,841","3,161","3,468","3,812","4,253","4,664","4,685"
...Asian,543,550,626,697,707,732,843,899,940,"1,014","1,048","1,265","1,274"
...NHPI,294,297,354,403,422,449,531,554,611,622,692,747,746
..Two or More Races,"1,574","1,632","2,007","2,376","2,790","3,172","3,641","4,138","4,561","5,068","5,573","5,890","5,958"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Indiana: April 1, 2000 to July 1, 2010 (ST-EST2010-03-18)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
