table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Delaware: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
..One Race,"36,529","37,079","39,999","43,124","46,385","49,889","53,763","57,635","61,133","64,477","68,414","70,648","71,056"
...White,"31,533","31,912","34,169","36,697","39,333","42,177","45,294","48,383","51,073","53,639","56,338","57,847","58,206"
...Black,"4,060","4,160","4,498","4,850","5,147","5,554","6,014","6,497","7,026","7,479","8,260","8,790","8,826"
...AIAN,614,685,905,"1,115","1,349","1,564","1,787","2,029","2,259","2,516","2,852","3,066","3,082"
...Asian,215,215,269,287,338,356,402,415,449,476,542,515,510
...NHPI,107,107,158,175,218,238,266,311,326,367,422,430,432
..Two or More Races,752,755,909,"1,063","1,214","1,385","1,612","1,843","2,016","2,248","2,401","2,573","2,786"
MALE,"380,525","381,926","386,350","391,517","397,201","403,483","409,923","416,502","422,351","428,393","431,935","434,939","435,972"
.One Race,"376,116","377,457","381,510","386,188","391,475","397,247","403,154","409,151","414,569","419,999","422,884","425,561","426,377"
..White,"293,495","294,273","295,808","298,052","300,596","303,579","306,112","308,853","311,288","313,600","314,317","315,284","315,751"
..Black,"72,880","73,288","75,065","76,921","78,793","80,619","83,146","85,502","87,623","89,980","91,427","92,750","93,013"
..AIAN,"1,506","1,546","1,731","1,815","2,000","2,118","2,243","2,404","2,530","2,682","2,881","3,048","3,058"
..Asian,"8,058","8,171","8,690","9,180","9,843","10,669","11,396","12,091","12,834","13,409","13,916","14,136","14,207"
..NHPI,177,179,216,220,243,262,257,301,294,328,343,343,348
.Two or More Races,"4,409","4,469","4,840","5,329","5,726","6,236","6,769","7,351","7,782","8,394","9,051","9,378","9,595"
.NOT HISPANIC,"360,535","361,644","364,481","367,888","371,877","376,387","380,777","385,346","389,346","393,615","395,222","397,013","397,694"
..One Race,"356,481","357,532","360,056","363,059","366,724","370,803","374,772","378,873","382,507","386,278","387,317","388,846","389,427"
...White,"276,375","276,948","277,246","278,119","279,331","280,942","281,914","283,114","284,106","285,211","284,636","284,866","285,136"
...Black,"70,868","71,226","72,881","74,545","76,303","77,930","80,248","82,416","84,338","86,409","87,560","88,570","88,811"
...AIAN,"1,166","1,171","1,240","1,222","1,283","1,297","1,302","1,340","1,343","1,366","1,367","1,421","1,417"
...Asian,"7,950","8,063","8,550","9,040","9,672","10,490","11,182","11,873","12,595","13,164","13,642","13,869","13,939"
...NHPI,122,124,139,133,135,144,126,130,125,128,112,120,124
..Two or More Races,"4,054","4,112","4,425","4,829","5,153","5,584","6,005","6,473","6,839","7,337","7,905","8,167","8,267"
.HISPANIC,"19,990","20,282","21,869","23,629","25,324","27,096","29,146","31,156","33,005","34,778","36,713","37,926","38,278"
..One Race,"19,635","19,925","21,454","23,129","24,751","26,444","28,382","30,278","32,062","33,721","35,567","36,715","36,950"
...White,"17,120","17,325","18,562","19,933","21,265","22,637","24,198","25,739","27,182","28,389","29,681","30,418","30,615"
...Black,"2,012","2,062","2,184","2,376","2,490","2,689","2,898","3,086","3,285","3,571","3,867","4,180","4,202"
...AIAN,340,375,491,593,717,821,941,"1,064","1,187","1,316","1,514","1,627","1,641"
...Asian,108,108,140,140,171,179,214,218,239,245,274,267,268
...NHPI,55,55,77,87,108,118,131,171,169,200,231,223,224
..Two or More Races,355,357,415,500,573,652,764,878,943,"1,057","1,146","1,211","1,328"
FEMALE,"403,034","404,447","409,349","414,652","420,802","427,320","435,227","442,766","449,398","455,481","459,795","462,995","463,797"
.One Race,"398,485","399,821","404,187","409,062","414,641","420,564","427,814","434,721","440,709","446,085","449,679","452,451","453,106"
..White,"307,529","308,271","309,796","311,778","314,243","317,095","320,596","323,979","326,141","328,453","329,438","330,486","330,862"
..Black,"80,704","81,118","83,167","85,261","87,427","89,681","92,573","95,325","98,163","100,413","102,273","103,531","103,765"
..AIAN,"1,483","1,525","1,678","1,785","1,953","2,049","2,214","2,359","2,473","2,631","2,772","2,881","2,876"
..Asian,"8,587","8,725","9,323","10,000","10,764","11,481","12,165","12,784","13,621","14,292","14,867","15,206","15,261"
..NHPI,182,182,223,238,254,258,266,274,311,296,329,347,342
.Two or More Races,"4,549","4,626","5,162","5,590","6,161","6,756","7,413","8,045","8,689","9,396","10,116","10,544","10,691"
.NOT HISPANIC,"385,743","386,895","390,310","394,094","398,527","403,142","408,998","414,444","419,254","423,534","425,693","427,700","428,233"
..One Race,"381,591","382,667","385,642","389,067","393,007","397,119","402,433","407,364","411,638","415,329","416,832","418,518","419,000"
...White,"293,116","293,684","294,189","295,014","296,175","297,555","299,500","301,335","302,250","303,203","302,781","303,057","303,271"
...Black,"78,656","79,020","80,853","82,787","84,770","86,816","89,457","91,914","94,422","96,505","97,880","98,921","99,141"
...AIAN,"1,209","1,215","1,264","1,263","1,321","1,306","1,368","1,394","1,401","1,431","1,434","1,442","1,435"
...Asian,"8,480","8,618","9,194","9,853","10,597","11,304","11,977","12,587","13,411","14,061","14,599","14,958","15,019"
...NHPI,130,130,142,150,144,138,131,134,154,129,138,140,134
..Two or More Races,"4,152","4,228","4,668","5,027","5,520","6,023","6,565","7,080","7,616","8,205","8,861","9,182","9,233"
.HISPANIC,"17,291","17,552","19,039","20,558","22,275","24,178","26,229","28,322","30,144","31,947","34,102","35,295","35,564"
..One Race,"16,894","17,154","18,545","19,995","21,634","23,445","25,381","27,357","29,071","30,756","32,847","33,933","34,106"
...White,"14,413","14,587","15,607","16,764","18,068","19,540","21,096","22,644","23,891","25,250","26,657","27,429","27,591"
...Black,"2,048","2,098","2,314","2,474","2,657","2,865","3,116","3,411","3,741","3,908","4,393","4,610","4,624"
...AIAN,274,310,414,522,632,743,846,965,"1,072","1,200","1,338","1,439","1,441"
...Asian,107,107,129,147,167,177,188,197,210,231,268,248,242
...NHPI,52,52,81,88,110,120,135,140,157,167,191,207,208
..Two or More Races,397,398,494,563,641,733,848,965,"1,073","1,191","1,255","1,362","1,458"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Delaware: April 1, 2000 to July 1, 2010 (ST-EST2010-03-10)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
