table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Wisconsin: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
.NOT HISPANIC,"2,626,264","2,629,691","2,637,118","2,648,154","2,656,658","2,665,781","2,672,640","2,680,194","2,687,873","2,694,933","2,701,430","2,704,661","2,705,171"
..One Race,"2,603,472","2,606,591","2,612,505","2,622,028","2,629,037","2,636,645","2,641,946","2,647,687","2,653,537","2,658,863","2,663,448","2,665,417","2,665,718"
...White,"2,379,347","2,381,268","2,382,223","2,386,368","2,388,684","2,392,180","2,393,132","2,394,032","2,395,130","2,395,612","2,395,844","2,394,761","2,394,438"
...Black,"155,952","156,507","159,165","162,053","164,388","166,320","168,404","170,812","173,118","175,506","177,704","179,147","179,434"
...AIAN,"22,300","22,364","22,484","22,749","22,909","23,062","23,299","23,555","23,854","24,051","24,155","24,398","24,439"
...Asian,"45,196","45,774","47,928","50,154","52,337","54,369","56,388","58,540","60,664","62,920","64,948","66,362","66,655"
...NHPI,677,678,705,704,719,714,723,748,771,774,797,749,752
..Two or More Races,"22,792","23,100","24,613","26,126","27,621","29,136","30,694","32,507","34,336","36,070","37,982","39,244","39,453"
.HISPANIC,"88,399","89,544","96,529","103,543","110,243","116,897","124,421","132,082","139,909","147,335","154,673","159,925","160,899"
..One Race,"86,494","87,572","94,236","100,881","107,230","113,526","120,603","127,833","135,246","142,246","149,127","154,040","154,928"
...White,"80,014","80,973","86,951","92,953","98,627","104,229","110,499","116,842","123,365","129,458","135,349","139,392","140,225"
...Black,"3,760","3,821","4,165","4,438","4,728","5,045","5,410","5,798","6,181","6,649","7,122","7,497","7,535"
...AIAN,"1,981","2,030","2,269","2,567","2,898","3,187","3,535","3,941","4,336","4,710","5,066","5,479","5,497"
...Asian,532,540,618,662,721,783,835,925,"1,009","1,052","1,163","1,250","1,252"
...NHPI,207,208,233,261,256,282,324,327,355,377,427,422,419
..Two or More Races,"1,905","1,972","2,293","2,662","3,013","3,371","3,818","4,249","4,663","5,089","5,546","5,885","5,971"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Wisconsin: April 1, 2000 to July 1, 2010 (ST-EST2010-03-55)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
