table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Oregon: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...Black,"29,023","29,096","29,723","30,487","30,906","30,988","31,690","32,692","33,542","34,376","35,111","35,382","35,491"
...AIAN,"19,900","19,966","20,114","20,267","20,276","20,303","20,401","20,596","20,840","21,045","21,259","21,372","21,439"
...Asian,"48,230","48,737","50,606","52,439","54,065","55,122","56,700","58,813","60,453","61,824","63,386","64,349","64,745"
...NHPI,"3,935","3,995","4,284","4,529","4,813","4,969","5,269","5,536","5,835","6,093","6,421","6,605","6,634"
..Two or More Races,"34,019","34,510","35,977","37,615","39,082","40,535","42,271","44,347","46,371","48,339","50,628","52,390","52,662"
.HISPANIC,"152,067","153,617","162,292","170,776","178,152","185,182","193,502","203,106","213,096","222,470","230,168","235,970","237,621"
..One Race,"148,943","150,385","158,503","166,437","173,139","179,545","187,074","195,984","205,203","213,710","220,590","225,687","227,266"
...White,"141,362","142,658","149,894","156,828","162,594","167,735","174,023","181,667","189,296","195,954","201,231","204,769","206,232"
...Black,"2,207","2,254","2,432","2,657","2,769","3,028","3,234","3,536","3,693","4,174","4,248","4,818","4,855"
...AIAN,"3,951","4,029","4,549","5,183","5,871","6,748","7,635","8,480","9,686","10,835","12,058","12,926","12,986"
...Asian,918,934,"1,073","1,180","1,274","1,351","1,469","1,556","1,714","1,889","2,132","2,245","2,260"
...NHPI,505,510,555,589,631,683,713,745,814,858,921,929,933
..Two or More Races,"3,124","3,232","3,789","4,339","5,013","5,637","6,428","7,122","7,893","8,760","9,578","10,283","10,355"
FEMALE,"1,724,913","1,728,647","1,747,889","1,771,126","1,788,805","1,800,377","1,823,447","1,853,117","1,879,347","1,903,535","1,923,209","1,935,072","1,938,741"
.One Race,"1,686,692","1,689,828","1,706,873","1,727,731","1,743,210","1,752,804","1,773,290","1,799,982","1,823,318","1,844,675","1,861,241","1,870,779","1,874,087"
..White,"1,576,620","1,578,888","1,591,727","1,608,352","1,620,204","1,626,840","1,642,830","1,664,667","1,682,921","1,699,813","1,711,746","1,718,549","1,721,085"
..Black,"27,247","27,297","28,072","28,867","29,328","29,691","30,231","31,094","32,114","32,999","33,939","34,214","34,323"
..AIAN,"23,776","23,931","24,651","25,287","26,130","26,797","27,765","28,587","29,589","30,730","31,791","32,486","32,620"
..Asian,"54,885","55,486","57,924","60,418","62,453","64,180","66,827","69,670","72,405","74,615","76,834","78,415","78,907"
..NHPI,"4,164","4,226","4,499","4,807","5,095","5,296","5,637","5,964","6,289","6,518","6,931","7,115","7,152"
.Two or More Races,"38,221","38,819","41,016","43,395","45,595","47,573","50,157","53,135","56,029","58,860","61,968","64,293","64,654"
.NOT HISPANIC,"1,601,659","1,604,005","1,614,098","1,628,670","1,638,071","1,641,882","1,655,326","1,674,704","1,690,045","1,704,152","1,715,172","1,720,980","1,723,222"
..One Race,"1,566,436","1,568,308","1,576,808","1,589,554","1,597,455","1,599,856","1,611,468","1,628,595","1,641,789","1,653,832","1,662,563","1,666,632","1,668,587"
...White,"1,462,673","1,463,826","1,469,072","1,478,495","1,483,826","1,484,280","1,492,487","1,505,863","1,515,256","1,524,341","1,530,048","1,532,413","1,533,705"
...Black,"25,423","25,443","26,034","26,608","26,914","27,073","27,470","28,095","28,837","29,368","30,000","30,062","30,136"
...AIAN,"20,587","20,640","20,765","20,849","20,913","20,857","21,039","21,106","21,260","21,447","21,467","21,527","21,601"
...Asian,"54,016","54,604","56,910","59,297","61,218","62,888","65,388","68,165","70,759","72,806","74,838","76,244","76,727"
...NHPI,"3,737","3,795","4,027","4,305","4,584","4,758","5,084","5,366","5,677","5,870","6,210","6,386","6,418"
..Two or More Races,"35,223","35,697","37,290","39,116","40,616","42,026","43,858","46,109","48,256","50,320","52,609","54,348","54,635"
.HISPANIC,"123,254","124,642","133,791","142,456","150,734","158,495","168,121","178,413","189,302","199,383","208,037","214,092","215,519"
..One Race,"120,256","121,520","130,065","138,177","145,755","152,948","161,822","171,387","181,529","190,843","198,678","204,147","205,500"
...White,"113,947","115,062","122,655","129,857","136,378","142,560","150,343","158,804","167,665","175,472","181,698","186,136","187,380"
...Black,"1,824","1,854","2,038","2,259","2,414","2,618","2,761","2,999","3,277","3,631","3,939","4,152","4,187"
...AIAN,"3,189","3,291","3,886","4,438","5,217","5,940","6,726","7,481","8,329","9,283","10,324","10,959","11,019"
...Asian,869,882,"1,014","1,121","1,235","1,292","1,439","1,505","1,646","1,809","1,996","2,171","2,180"
...NHPI,427,431,472,502,511,538,553,598,612,648,721,729,734
..Two or More Races,"2,998","3,122","3,726","4,279","4,979","5,547","6,299","7,026","7,773","8,540","9,359","9,945","10,019"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Oregon: April 1, 2000 to July 1, 2010 (ST-EST2010-03-41)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
