table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Illinois: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
MALE,"6,080,643","6,088,884","6,118,002","6,137,659","6,153,147","6,175,564","6,186,072","6,203,933","6,228,289","6,253,501","6,276,055","6,292,276","6,299,799"
.One Race,"6,023,382","6,030,749","6,055,846","6,071,496","6,082,839","6,100,770","6,106,877","6,120,038","6,139,294","6,159,023","6,176,282","6,188,380","6,195,394"
..White,"4,895,550","4,898,989","4,913,850","4,919,940","4,923,808","4,931,526","4,929,581","4,932,484","4,941,549","4,951,837","4,958,776","4,962,981","4,966,684"
..Black,"891,775","892,976","893,196","893,042","891,227","891,889","890,888","890,970","890,313","890,153","890,651","891,676","893,343"
..AIAN,"18,628","19,009","20,687","22,110","23,798","25,689","27,430","29,366","31,433","33,731","36,281","38,409","38,589"
..Asian,"213,743","216,061","224,334","232,611","240,231","247,812","255,123","263,382","272,147","279,427","286,707","291,491","292,930"
..NHPI,"3,686","3,714","3,779","3,793","3,775","3,854","3,855","3,836","3,852","3,875","3,867","3,823","3,848"
.Two or More Races,"57,261","58,135","62,156","66,163","70,308","74,794","79,195","83,895","88,995","94,478","99,773","103,896","104,405"
.NOT HISPANIC,"5,271,132","5,272,032","5,272,286","5,266,838","5,259,164","5,259,945","5,249,174","5,243,927","5,245,089","5,246,056","5,246,450","5,245,667","5,246,935"
..One Race,"5,220,460","5,220,725","5,218,054","5,209,809","5,199,194","5,196,746","5,182,949","5,174,511","5,172,066","5,169,136","5,165,890","5,162,231","5,162,975"
...White,"4,126,148","4,123,283","4,113,104","4,097,880","4,082,694","4,073,261","4,054,934","4,039,977","4,031,336","4,023,361","4,014,574","4,007,005","4,004,859"
...Black,"873,469","874,378","873,746","872,760","870,030","869,522","867,209","865,841","863,716","861,940","860,677","860,195","861,625"
...AIAN,"9,183","9,160","9,239","9,205","9,214","9,406","9,388","9,400","9,410","9,422","9,451","9,454","9,500"
...Asian,"210,065","212,302","220,322","228,319","235,628","242,873","249,759","257,635","265,946","272,767","279,564","283,969","285,369"
...NHPI,"1,595","1,602","1,643","1,645","1,628","1,684","1,659","1,658","1,658","1,646","1,624","1,608","1,622"
..Two or More Races,"50,672","51,307","54,232","57,029","59,970","63,199","66,225","69,416","73,023","76,920","80,560","83,436","83,960"
.HISPANIC,"809,511","816,852","845,716","870,821","893,983","915,619","936,898","960,006","983,200","1,007,445","1,029,605","1,046,609","1,052,864"
..One Race,"802,922","810,024","837,792","861,687","883,645","904,024","923,928","945,527","967,228","989,887","1,010,392","1,026,149","1,032,419"
...White,"769,402","775,706","800,746","822,060","841,114","858,265","874,647","892,507","910,213","928,476","944,202","955,976","961,825"
...Black,"18,306","18,598","19,450","20,282","21,197","22,367","23,679","25,129","26,597","28,213","29,974","31,481","31,718"
...AIAN,"9,445","9,849","11,448","12,905","14,584","16,283","18,042","19,966","22,023","24,309","26,830","28,955","29,089"
...Asian,"3,678","3,759","4,012","4,292","4,603","4,939","5,364","5,747","6,201","6,660","7,143","7,522","7,561"
...NHPI,"2,091","2,112","2,136","2,148","2,147","2,170","2,196","2,178","2,194","2,229","2,243","2,215","2,226"
..Two or More Races,"6,589","6,828","7,924","9,134","10,338","11,595","12,970","14,479","15,972","17,558","19,213","20,460","20,445"
FEMALE,"6,339,284","6,345,277","6,370,443","6,387,897","6,402,859","6,414,209","6,423,831","6,440,022","6,467,577","6,493,537","6,520,723","6,538,356","6,543,367"
.One Race,"6,279,906","6,285,035","6,305,978","6,319,443","6,330,109","6,337,042","6,342,279","6,353,649","6,375,890","6,396,403","6,418,014","6,431,346","6,435,922"
..White,"5,026,596","5,027,785","5,036,480","5,039,302","5,040,209","5,038,619","5,034,898","5,035,446","5,045,258","5,053,934","5,062,889","5,067,606","5,069,118"
..Black,"1,010,050","1,011,095","1,012,116","1,011,763","1,010,957","1,009,607","1,007,973","1,007,808","1,008,351","1,009,148","1,010,614","1,011,782","1,013,163"
..AIAN,"17,926","18,304","19,823","21,405","23,010","24,616","26,315","28,132","29,879","31,697","34,041","35,437","35,584"
..Asian,"221,704","224,198","233,890","243,327","252,291","260,596","269,470","278,658","288,767","297,985","306,832","312,908","314,418"
..NHPI,"3,630","3,653","3,669","3,646","3,642","3,604","3,623","3,605","3,635","3,639","3,638","3,613","3,639"
.Two or More Races,"59,378","60,242","64,465","68,454","72,750","77,167","81,552","86,373","91,687","97,134","102,709","107,010","107,445"
.NOT HISPANIC,"5,618,475","5,617,964","5,614,626","5,605,418","5,594,919","5,582,556","5,568,580","5,559,801","5,561,150","5,559,634","5,559,773","5,557,387","5,557,176"
..One Race,"5,565,637","5,564,494","5,558,058","5,545,974","5,532,402","5,516,902","5,499,882","5,487,729","5,485,194","5,479,873","5,476,053","5,470,748","5,470,073"
...White,"4,345,021","4,340,676","4,324,648","4,304,651","4,284,276","4,263,285","4,240,745","4,221,402","4,210,143","4,197,023","4,185,409","4,174,817","4,171,441"
...Black,"991,312","992,100","992,105","990,830","988,974","986,514","983,567","981,988","980,997","980,040","979,501","979,165","980,340"
...AIAN,"9,533","9,505","9,571","9,584","9,544","9,574","9,621","9,637","9,692","9,689","9,695","9,666","9,704"
...Asian,"218,093","220,527","230,016","239,196","247,925","255,889","264,318","273,073","282,740","291,499","299,858","305,545","307,013"
...NHPI,"1,678","1,686","1,718","1,713","1,683","1,640","1,631","1,629","1,622","1,622","1,590","1,555","1,575"
..Two or More Races,"52,838","53,470","56,568","59,444","62,517","65,654","68,698","72,072","75,956","79,761","83,720","86,639","87,103"
.HISPANIC,"720,809","727,313","755,817","782,479","807,940","831,653","855,251","880,221","906,427","933,903","960,950","980,969","986,191"
..One Race,"714,269","720,541","747,920","773,469","797,707","820,140","842,397","865,920","890,696","916,530","941,961","960,598","965,849"
...White,"681,575","687,109","711,832","734,651","755,933","775,334","794,153","814,044","835,115","856,911","877,480","892,789","897,677"
...Black,"18,738","18,995","20,011","20,933","21,983","23,093","24,406","25,820","27,354","29,108","31,113","32,617","32,823"
...AIAN,"8,393","8,799","10,252","11,821","13,466","15,042","16,694","18,495","20,187","22,008","24,346","25,771","25,880"
...Asian,"3,611","3,671","3,874","4,131","4,366","4,707","5,152","5,585","6,027","6,486","6,974","7,363","7,405"
...NHPI,"1,952","1,967","1,951","1,933","1,959","1,964","1,992","1,976","2,013","2,017","2,048","2,058","2,064"
..Two or More Races,"6,540","6,772","7,897","9,010","10,233","11,513","12,854","14,301","15,731","17,373","18,989","20,371","20,342"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Illinois: April 1, 2000 to July 1, 2010 (ST-EST2010-03-17)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
