table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Arkansas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...White,"1,075,649","1,076,738","1,075,868","1,075,606","1,076,593","1,079,971","1,085,695","1,093,697","1,098,155","1,101,913","1,104,794","1,107,462","1,108,522"
...Black,"220,838","221,343","222,094","222,702","223,388","224,914","226,174","229,516","230,360","232,459","233,502","235,172","235,847"
...AIAN,"8,569","8,585","8,778","8,948","9,126","9,241","9,483","9,733","9,956","10,087","10,276","10,335","10,352"
...Asian,"10,719","10,857","11,413","12,051","12,875","13,873","14,905","15,992","16,850","17,540","18,520","19,128","19,220"
...NHPI,785,818,997,"1,211","1,371","1,541","1,685","1,942","2,068","2,267","2,541","2,750","2,747"
..Two or More Races,"14,076","14,239","14,949","15,597","16,294","17,070","18,039","18,903","19,924","20,921","21,916","22,637","22,754"
.HISPANIC,"38,011","38,435","42,746","47,124","51,876","56,438","62,314","68,645","74,045","79,033","83,464","86,797","87,438"
..One Race,"37,424","37,835","42,014","46,263","50,822","55,219","60,864","66,991","72,238","77,015","81,220","84,439","84,972"
...White,"34,783","35,156","38,925","42,885","47,122","51,176","56,374","62,062","66,823","71,132","74,955","77,693","78,210"
...Black,"1,597","1,605","1,773","1,872","1,989","2,111","2,280","2,461","2,663","2,805","2,926","2,958","2,969"
...AIAN,652,681,838,956,"1,119","1,284","1,484","1,637","1,898","2,156","2,283","2,683","2,693"
...Asian,260,260,310,352,362,400,437,500,529,566,639,678,673
...NHPI,132,133,168,198,230,248,289,331,325,356,417,427,427
..Two or More Races,587,600,732,861,"1,054","1,219","1,450","1,654","1,807","2,018","2,244","2,358","2,466"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Arkansas: April 1, 2000 to July 1, 2010 (ST-EST2010-03-05)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
