table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Tennessee: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...AIAN,"14,041","14,101","14,540","14,783","14,992","15,326","15,585","15,852","16,228","16,257","16,491","16,450","16,499"
...Asian,"57,320","58,061","60,602","63,922","67,489","71,342","75,257","79,359","83,084","86,039","89,297","91,576","92,117"
...NHPI,"1,883","1,893","2,027","2,123","2,146","2,282","2,405","2,533","2,681","2,643","2,907","2,835","2,843"
..Two or More Races,"45,673","46,334","49,947","53,361","56,929","60,628","64,722","69,336","74,041","78,811","83,476","86,489","87,063"
.HISPANIC,"123,828","125,572","139,039","152,930","167,001","183,955","204,020","223,916","245,692","262,563","278,598","290,059","292,156"
..One Race,"121,589","123,236","136,133","149,410","162,848","179,177","198,335","217,425","238,397","254,391","269,602","280,343","282,258"
...White,"111,191","112,610","124,038","135,923","147,930","161,822","177,419","193,867","211,750","225,717","239,834","249,630","251,355"
...Black,"6,957","7,008","7,562","8,074","8,678","10,109","12,562","13,988","15,025","15,662","15,852","15,995","16,111"
...AIAN,"1,875","2,024","2,713","3,325","3,922","4,620","5,287","6,000","7,499","8,534","9,308","9,806","9,861"
...Asian,943,947,"1,036","1,158","1,205","1,351","1,571","1,824","2,119","2,238","2,186","2,321","2,333"
...NHPI,623,647,784,930,"1,113","1,275","1,496","1,746","2,004","2,240","2,422","2,591","2,598"
..Two or More Races,"2,239","2,336","2,906","3,520","4,153","4,778","5,685","6,491","7,295","8,172","8,996","9,716","9,898"
MALE,"2,770,311","2,777,586","2,802,368","2,824,045","2,846,829","2,882,878","2,922,618","2,967,311","3,013,447","3,044,296","3,074,250","3,093,504","3,099,292"
.One Race,"2,746,698","2,753,591","2,776,363","2,796,056","2,816,812","2,850,595","2,888,006","2,930,163","2,973,401","3,001,620","3,028,984","3,046,408","3,051,813"
..White,"2,267,658","2,272,426","2,287,406","2,299,606","2,313,191","2,336,243","2,363,498","2,394,381","2,428,332","2,450,425","2,470,399","2,481,841","2,485,246"
..Black,"441,347","442,997","448,884","454,131","459,176","467,143","474,725","483,275","489,565","493,768","499,043","503,443","505,127"
..AIAN,"8,378","8,493","9,083","9,558","9,948","10,525","10,957","11,532","12,457","12,966","13,560","13,945","13,995"
..Asian,"27,975","28,315","29,497","31,117","32,765","34,760","36,769","38,657","40,516","41,851","43,125","44,273","44,535"
..NHPI,"1,340","1,360","1,493","1,644","1,732","1,924","2,057","2,318","2,531","2,610","2,857","2,906","2,910"
.Two or More Races,"23,613","23,995","26,005","27,989","30,017","32,283","34,612","37,148","40,046","42,676","45,266","47,096","47,479"
.NOT HISPANIC,"2,697,009","2,703,269","2,720,912","2,735,314","2,751,206","2,778,209","2,807,353","2,842,405","2,877,282","2,900,214","2,921,926","2,935,207","2,939,834"
..One Race,"2,674,591","2,680,525","2,696,434","2,709,182","2,723,357","2,748,454","2,775,732","2,808,640","2,841,063","2,861,807","2,881,359","2,893,175","2,897,509"
...White,"2,201,218","2,205,150","2,213,963","2,219,997","2,227,774","2,243,456","2,262,515","2,285,608","2,310,325","2,325,924","2,338,700","2,345,155","2,347,589"
...Black,"437,718","439,346","444,978","449,967","454,712","461,890","468,140","475,951","481,700","485,651","490,816","495,186","496,803"
...AIAN,"7,239","7,268","7,509","7,616","7,657","7,864","7,931","8,070","8,232","8,200","8,341","8,343","8,372"
...Asian,"27,465","27,803","28,940","30,501","32,133","34,062","35,954","37,717","39,451","40,706","42,030","43,074","43,327"
...NHPI,951,958,"1,044","1,101","1,081","1,182","1,192","1,294","1,355","1,326","1,472","1,417","1,418"
..Two or More Races,"22,418","22,744","24,478","26,132","27,849","29,755","31,621","33,765","36,219","38,407","40,567","42,032","42,325"
.HISPANIC,"73,302","74,317","81,456","88,731","95,623","104,669","115,265","124,906","136,165","144,082","152,324","158,297","159,458"
..One Race,"72,107","73,066","79,929","86,874","93,455","102,141","112,274","121,523","132,338","139,813","147,625","153,233","154,304"
...White,"66,440","67,276","73,443","79,609","85,417","92,787","100,983","108,773","118,007","124,501","131,699","136,686","137,657"
...Black,"3,629","3,651","3,906","4,164","4,464","5,253","6,585","7,324","7,865","8,117","8,227","8,257","8,324"
...AIAN,"1,139","1,225","1,574","1,942","2,291","2,661","3,026","3,462","4,225","4,766","5,219","5,602","5,623"
...Asian,510,512,557,616,632,698,815,940,"1,065","1,145","1,095","1,199","1,208"
...NHPI,389,402,449,543,651,742,865,"1,024","1,176","1,284","1,385","1,489","1,492"
..Two or More Races,"1,195","1,251","1,527","1,857","2,168","2,528","2,991","3,383","3,827","4,269","4,699","5,064","5,154"
FEMALE,"2,919,116","2,926,133","2,948,421","2,971,873","3,000,983","3,027,931","3,068,439","3,121,455","3,162,280","3,203,115","3,231,769","3,252,601","3,257,605"
.One Race,"2,894,817","2,901,458","2,921,573","2,942,981","2,969,918","2,994,808","3,032,644","3,082,776","3,120,990","3,158,808","3,184,563","3,203,492","3,208,123"
..White,"2,358,941","2,363,423","2,375,467","2,388,242","2,406,130","2,422,374","2,449,401","2,485,955","2,514,617","2,543,723","2,561,294","2,574,470","2,577,162"
..Black,"496,884","498,530","504,477","510,817","517,366","523,447","531,425","542,014","548,262","554,561","560,200","564,567","566,150"
..AIAN,"7,538","7,632","8,170","8,550","8,966","9,421","9,915","10,320","11,270","11,825","12,239","12,311","12,365"
..Asian,"30,288","30,693","32,141","33,963","35,929","37,933","40,059","42,526","44,687","46,426","48,358","49,624","49,915"
..NHPI,"1,166","1,180","1,318","1,409","1,527","1,633","1,844","1,961","2,154","2,273","2,472","2,520","2,531"
.Two or More Races,"24,299","24,675","26,848","28,892","31,065","33,123","35,795","38,679","41,290","44,307","47,206","49,109","49,482"
.NOT HISPANIC,"2,868,590","2,874,878","2,890,838","2,907,674","2,929,605","2,948,645","2,979,684","3,022,445","3,052,753","3,084,634","3,105,495","3,120,839","3,124,907"
..One Race,"2,845,335","2,851,288","2,865,369","2,880,445","2,900,525","2,917,772","2,946,583","2,986,874","3,014,931","3,044,230","3,062,586","3,076,382","3,080,169"
...White,"2,314,190","2,318,089","2,324,872","2,331,928","2,343,617","2,353,339","2,372,965","2,400,861","2,420,874","2,442,507","2,453,159","2,461,526","2,463,464"
...Black,"493,556","495,173","500,821","506,907","513,152","518,591","525,448","535,350","541,102","547,016","552,575","556,829","558,363"
...AIAN,"6,802","6,833","7,031","7,167","7,335","7,462","7,654","7,782","7,996","8,057","8,150","8,107","8,127"
...Asian,"29,855","30,258","31,662","33,421","35,356","37,280","39,303","41,642","43,633","45,333","47,267","48,502","48,790"
...NHPI,932,935,983,"1,022","1,065","1,100","1,213","1,239","1,326","1,317","1,435","1,418","1,425"
..Two or More Races,"23,255","23,590","25,469","27,229","29,080","30,873","33,101","35,571","37,822","40,404","42,909","44,457","44,738"
.HISPANIC,"50,526","51,255","57,583","64,199","71,378","79,286","88,755","99,010","109,527","118,481","126,274","131,762","132,698"
..One Race,"49,482","50,170","56,204","62,536","69,393","77,036","86,061","95,902","106,059","114,578","121,977","127,110","127,954"
...White,"44,751","45,334","50,595","56,314","62,513","69,035","76,436","85,094","93,743","101,216","108,135","112,944","113,698"
...Black,"3,328","3,357","3,656","3,910","4,214","4,856","5,977","6,664","7,160","7,545","7,625","7,738","7,787"
...AIAN,736,799,"1,139","1,383","1,631","1,959","2,261","2,538","3,274","3,768","4,089","4,204","4,238"
...Asian,433,435,479,542,573,653,756,884,"1,054","1,093","1,091","1,122","1,125"
...NHPI,234,245,335,387,462,533,631,722,828,956,"1,037","1,102","1,106"
..Two or More Races,"1,044","1,085","1,379","1,663","1,985","2,250","2,694","3,108","3,468","3,903","4,297","4,652","4,744"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Tennessee: April 1, 2000 to July 1, 2010 (ST-EST2010-03-47)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
