table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Carolina: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...White,"1,355,939","1,358,291","1,367,720","1,377,917","1,388,619","1,403,287","1,419,257","1,444,870","1,469,126","1,491,929","1,509,006","1,516,569","1,518,385"
...Black,"627,912","630,054","634,301","637,055","640,606","645,453","649,794","657,817","664,187","672,924","677,970","681,414","683,625"
...AIAN,"6,508","6,546","6,753","6,985","7,186","7,364","7,554","7,739","7,928","8,256","8,405","8,466","8,491"
...Asian,"19,263","19,489","20,286","21,379","22,670","23,873","25,186","26,541","28,060","29,549","30,750","31,625","31,830"
...NHPI,621,621,668,714,730,803,822,905,895,994,"1,014","1,058","1,061"
..Two or More Races,"14,490","14,725","16,167","17,574","19,018","20,444","21,973","23,961","26,052","28,272","30,389","31,769","31,974"
.HISPANIC,"38,345","38,901","44,068","49,445","55,138","61,081","67,759","75,822","84,544","93,123","99,496","104,362","105,159"
..One Race,"37,553","38,088","43,028","48,200","53,599","59,320","65,738","73,519","81,941","90,212","96,299","100,903","101,589"
...White,"31,671","32,102","36,377","40,925","45,781","50,629","55,806","62,229","69,611","76,839","82,519","86,427","87,022"
...Black,"4,787","4,840","5,070","5,418","5,660","6,231","7,134","7,992","8,515","9,110","9,280","9,621","9,684"
...AIAN,526,573,823,"1,034","1,251","1,462","1,685","2,034","2,343","2,698","2,956","3,190","3,215"
...Asian,353,355,467,474,539,582,650,720,853,897,876,928,932
...NHPI,216,218,291,349,368,416,463,544,619,668,668,737,736
..Two or More Races,792,813,"1,040","1,245","1,539","1,761","2,021","2,303","2,603","2,911","3,197","3,459","3,570"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for South Carolina: April 1, 2000 to July 1, 2010 (ST-EST2010-03-45)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
