table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Kansas: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
...White,"1,097,347","1,097,834","1,095,460","1,093,468","1,090,196","1,089,287","1,087,389","1,090,086","1,090,950","1,094,393","1,096,703","1,099,325","1,100,676"
...Black,"76,889","77,049","77,187","77,472","77,582","78,170","78,152","79,630","80,160","81,976","82,658","83,597","83,870"
...AIAN,"11,314","11,347","11,384","11,399","11,423","11,498","11,518","11,510","11,510","11,463","11,597","11,447","11,483"
...Asian,"23,193","23,462","24,343","25,584","26,735","27,574","28,356","28,914","29,796","30,760","31,856","32,484","32,673"
...NHPI,610,613,700,718,758,804,882,860,874,967,"1,004","1,081","1,080"
..Two or More Races,"18,529","18,806","19,768","20,838","21,959","23,155","24,213","25,262","26,561","28,091","29,650","30,989","31,236"
.HISPANIC,"100,845","102,070","107,354","112,158","116,936","121,489","126,831","132,577","138,229","144,863","151,097","156,485","157,704"
..One Race,"99,293","100,468","105,475","109,971","114,452","118,703","123,690","129,021","134,374","140,523","146,417","151,438","152,564"
...White,"94,283","95,362","99,957","103,963","107,987","111,885","116,229","120,712","125,352","130,659","135,648","139,888","140,946"
...Black,"2,430","2,467","2,609","2,777","2,886","3,074","3,327","3,640","3,993","4,353","4,676","4,907","4,945"
...AIAN,"1,866","1,919","2,140","2,420","2,691","2,860","3,187","3,599","3,852","4,196","4,760","5,228","5,252"
...Asian,488,492,505,523,595,582,635,722,819,886,891,957,962
...NHPI,226,228,264,288,293,302,312,348,358,429,442,458,459
..Two or More Races,"1,552","1,602","1,879","2,187","2,484","2,786","3,141","3,556","3,855","4,340","4,680","5,047","5,140"
FEMALE,"1,360,198","1,362,500","1,365,966","1,371,898","1,377,415","1,382,396","1,387,958","1,394,092","1,405,705","1,415,563","1,428,139","1,437,710","1,440,447"
.One Race,"1,339,523","1,341,468","1,343,694","1,348,141","1,352,186","1,355,824","1,359,900","1,364,499","1,374,235","1,382,119","1,392,529","1,400,519","1,402,966"
..White,"1,223,234","1,224,637","1,224,851","1,226,875","1,229,313","1,231,147","1,233,680","1,236,294","1,243,427","1,248,604","1,256,260","1,261,844","1,263,790"
..Black,"78,122","78,260","78,696","79,302","79,356","79,783","79,825","80,678","81,793","82,924","83,914","84,794","85,053"
..AIAN,"12,815","12,907","13,202","13,580","13,852","14,202","14,570","14,784","15,070","15,434","15,958","16,369","16,416"
..Asian,"24,565","24,879","26,102","27,497","28,705","29,724","30,786","31,663","32,813","33,983","35,177","36,187","36,385"
..NHPI,787,785,843,887,960,968,"1,039","1,080","1,132","1,174","1,220","1,325","1,322"
.Two or More Races,"20,675","21,032","22,272","23,757","25,229","26,572","28,058","29,593","31,470","33,444","35,610","37,191","37,481"
.NOT HISPANIC,"1,272,745","1,273,937","1,272,600","1,273,556","1,273,997","1,273,761","1,274,138","1,275,042","1,280,279","1,283,682","1,289,683","1,294,153","1,295,842"
..One Race,"1,253,567","1,254,468","1,252,195","1,251,982","1,251,304","1,250,039","1,249,305","1,249,031","1,252,776","1,254,636","1,258,876","1,262,053","1,263,551"
...White,"1,141,963","1,142,416","1,138,628","1,136,452","1,134,551","1,131,983","1,130,293","1,128,621","1,130,502","1,130,401","1,132,686","1,134,211","1,135,251"
...Black,"75,721","75,820","76,039","76,488","76,427","76,641","76,465","77,084","77,836","78,673","79,360","79,945","80,174"
...AIAN,"11,201","11,239","11,309","11,426","11,508","11,582","11,654","11,596","11,567","11,564","11,685","11,710","11,741"
...Asian,"24,094","24,407","25,589","26,961","28,122","29,134","30,131","30,966","32,066","33,166","34,296","35,242","35,440"
...NHPI,588,586,630,655,696,699,762,764,805,832,849,945,945
..Two or More Races,"19,178","19,469","20,405","21,574","22,693","23,722","24,833","26,011","27,503","29,046","30,807","32,100","32,291"
.HISPANIC,"87,453","88,563","93,366","98,342","103,418","108,635","113,820","119,050","125,426","131,881","138,456","143,557","144,605"
..One Race,"85,956","87,000","91,499","96,159","100,882","105,785","110,595","115,468","121,459","127,483","133,653","138,466","139,415"
...White,"81,271","82,221","86,223","90,423","94,762","99,164","103,387","107,673","112,925","118,203","123,574","127,633","128,539"
...Black,"2,401","2,440","2,657","2,814","2,929","3,142","3,360","3,594","3,957","4,251","4,554","4,849","4,879"
...AIAN,"1,614","1,668","1,893","2,154","2,344","2,620","2,916","3,188","3,503","3,870","4,273","4,659","4,675"
...Asian,471,472,513,536,583,590,655,697,747,817,881,945,945
...NHPI,199,199,213,232,264,269,277,316,327,342,371,380,377
..Two or More Races,"1,497","1,563","1,867","2,183","2,536","2,850","3,225","3,582","3,967","4,398","4,803","5,091","5,190"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Kansas: April 1, 2000 to July 1, 2010 (ST-EST2010-03-20)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
