table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Kentucky: April 1, 2000 to July 1, 2010",,,,,,,,,,,,,
"Sex, Race, and Hispanic Origin","April 1, 20001",Intercensal Estimates (as of July 1),,,,,,,,,,"April 1, 20102","July 1, 20103"
..AIAN,"4,664","4,696","4,927","4,977","5,049","5,348","5,424","5,521","5,812","5,907","6,176","6,405","6,424"
..Asian,"14,593","14,775","15,650","16,584","17,536","18,632","19,672","20,473","21,309","22,095","22,902","23,536","23,670"
..NHPI,855,856,950,"1,008","1,084","1,186","1,346","1,384","1,528","1,539","1,758","1,749","1,752"
.Two or More Races,"16,920","17,160","18,527","19,814","21,222","22,804","24,486","26,149","28,099","29,730","31,748","32,967","33,311"
.NOT HISPANIC,"1,940,025","1,943,321","1,951,932","1,960,232","1,968,996","1,984,092","1,998,859","2,012,588","2,029,909","2,040,089","2,052,752","2,060,671","2,063,765"
..One Race,"1,923,848","1,926,919","1,934,330","1,941,483","1,949,053","1,962,717","1,976,044","1,988,288","2,003,862","2,012,599","2,023,511","2,030,352","2,033,206"
...White,"1,761,237","1,763,559","1,767,675","1,772,380","1,778,246","1,787,288","1,797,456","1,807,332","1,818,595","1,825,541","1,832,057","1,836,565","1,838,732"
...Black,"143,549","144,106","146,406","147,968","148,765","152,112","154,165","155,750","159,100","160,287","163,591","165,356","165,908"
...AIAN,"4,112","4,123","4,229","4,178","4,161","4,291","4,328","4,285","4,379","4,330","4,443","4,433","4,441"
...Asian,"14,308","14,489","15,332","16,226","17,142","18,206","19,189","19,976","20,754","21,458","22,271","22,901","23,026"
...NHPI,642,642,688,731,739,820,906,945,"1,034",983,"1,149","1,097","1,099"
..Two or More Races,"16,177","16,402","17,602","18,749","19,943","21,375","22,815","24,300","26,047","27,490","29,241","30,319","30,559"
.HISPANIC,"35,504","35,984","39,329","42,420","45,866","49,958","54,225","57,555","62,553","66,257","71,186","74,281","74,890"
..One Race,"34,761","35,226","38,404","41,355","44,587","48,529","52,554","55,706","60,501","64,017","68,679","71,633","72,138"
...White,"31,749","32,174","34,925","37,602","40,474","43,918","47,502","50,222","54,403","57,477","61,500","63,958","64,411"
...Black,"1,962","1,979","2,201","2,319","2,486","2,762","3,033","3,312","3,616","3,770","4,206","4,416","4,447"
...AIAN,552,573,698,799,888,"1,057","1,096","1,236","1,433","1,577","1,733","1,972","1,983"
...Asian,285,286,318,358,394,426,483,497,555,637,631,635,644
...NHPI,213,214,262,277,345,366,440,439,494,556,609,652,653
..Two or More Races,743,758,925,"1,065","1,279","1,429","1,671","1,849","2,052","2,240","2,507","2,648","2,752"
FEMALE,"2,066,664","2,069,716","2,076,871","2,087,223","2,102,308","2,112,051","2,129,658","2,149,096","2,164,210","2,183,532","2,193,136","2,204,415","2,207,611"
.One Race,"2,049,235","2,052,039","2,057,845","2,066,805","2,080,432","2,088,632","2,104,665","2,122,418","2,135,693","2,152,878","2,160,714","2,170,493","2,173,370"
..White,"1,874,967","1,877,033","1,880,106","1,886,071","1,896,955","1,902,285","1,914,499","1,928,716","1,938,500","1,952,081","1,956,726","1,963,670","1,965,848"
..Black,"153,355","153,829","155,418","157,114","158,667","160,270","162,535","164,660","166,906","169,145","171,137","173,032","173,570"
..AIAN,"4,278","4,312","4,461","4,628","4,687","4,850","5,039","5,161","5,276","5,445","5,510","5,700","5,714"
..Asian,"15,869","16,094","16,998","18,103","19,158","20,189","21,522","22,654","23,706","24,894","25,886","26,641","26,790"
..NHPI,766,771,862,889,965,"1,038","1,070","1,227","1,305","1,313","1,455","1,450","1,448"
.Two or More Races,"17,429","17,677","19,026","20,418","21,876","23,419","24,993","26,678","28,517","30,654","32,422","33,922","34,241"
.NOT HISPANIC,"2,042,232","2,044,970","2,049,040","2,056,446","2,068,158","2,074,802","2,088,645","2,104,471","2,115,844","2,131,427","2,137,598","2,145,860","2,148,582"
..One Race,"2,025,452","2,027,957","2,030,832","2,036,975","2,047,426","2,052,652","2,065,121","2,079,437","2,089,130","2,102,794","2,107,331","2,114,284","2,116,804"
...White,"1,853,500","1,855,290","1,855,765","1,859,275","1,867,295","1,869,866","1,879,042","1,890,251","1,896,910","1,907,293","1,909,046","1,913,526","1,915,370"
...Black,"151,746","152,214","153,628","155,146","156,536","157,989","159,954","161,809","163,768","165,848","167,576","169,356","169,876"
...AIAN,"3,932","3,951","4,028","4,069","4,079","4,189","4,208","4,230","4,228","4,322","4,291","4,277","4,284"
...Asian,"15,611","15,836","16,697","17,780","18,781","19,791","21,099","22,207","23,222","24,347","25,356","26,103","26,251"
...NHPI,663,666,714,705,735,817,818,940,"1,002",984,"1,062","1,022","1,023"
..Two or More Races,"16,780","17,013","18,208","19,471","20,732","22,150","23,524","25,034","26,714","28,633","30,267","31,576","31,778"
.HISPANIC,"24,432","24,746","27,831","30,777","34,150","37,249","41,013","44,625","48,366","52,105","55,538","58,555","59,029"
..One Race,"23,783","24,082","27,013","29,830","33,006","35,980","39,544","42,981","46,563","50,084","53,383","56,209","56,566"
...White,"21,467","21,743","24,341","26,796","29,660","32,419","35,457","38,465","41,590","44,788","47,680","50,144","50,478"
...Black,"1,609","1,615","1,790","1,968","2,131","2,281","2,581","2,851","3,138","3,297","3,561","3,676","3,694"
...AIAN,346,361,433,559,608,661,831,931,"1,048","1,123","1,219","1,423","1,430"
...Asian,258,258,301,323,377,398,423,447,484,547,530,538,539
...NHPI,103,105,148,184,230,221,252,287,303,329,393,428,425
..Two or More Races,649,664,818,947,"1,144","1,269","1,469","1,644","1,803","2,021","2,155","2,346","2,463"
"1 The April 1, 2000 Population Estimates base reflects changes to the Census 2000 population from the Count Question Resolution program, legal boundary updates, and other geographic program revisions.  The original race data from 
Census 2000 are modified to reclassify the Some Other Race category.  For more information see http://www.census.gov/popest/research/modified.html.",,,,,,,,,,,,,
"2 The data source for April 1, 2010 is the 2010 Census count.  The original race data from the 2010 Census are modified to reclassify the Some Other Race category.  For more information see 
http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"3 The values for July 1, 2010 were produced by applying estimates of change in the population between April 1 and July 1 of 2010 to the 2010 Census counts.  Further details on this methodology are available
 at http://www.census.gov/popest/methodology/2000-2010_Intercensal_Estimates_Methodology.pdf.",,,,,,,,,,,,,
"Note: Hispanic origin is considered an ethnicity, not a race.  Hispanics may be of any race.  Abbreviations: Black = Black or African American; AIAN = American Indian and Alaska Native; 
NHPI = Native Hawaiian and Other Pacific Islander.",,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,
"Table 3. Intercensal Estimates of the Resident Population by Sex, Race, and Hispanic Origin for Kentucky: April 1, 2000 to July 1, 2010 (ST-EST2010-03-21)",,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,
Release Date: October 2012,,,,,,,,,,,,,
